"","Name","Flag"
"888","Irad",1
"889","Iron",1
"890","Isaac",1
"891","Isaiah",1
"892","Israel",1
"893","Italy",1
"894","Ivah",1
"895","Ivory",1
"896","Izhar",1
"897","Izrahite",1
"898","Jaazer",1
"899","Jabal",1
"900","Jabbok",1
"901","Jabesh",1
"902","Jabin",1
"903","Jabneel",1
"904","Jabneh",1
"905","Jachan",1
"906","Jachin",1
"907","Jacinth",1
"908","Jacob",1
"909","Jaddua",1
"910","Jadon",1
"911","Jairus",1
"912","Jalon",1
"913","James",1
"914","Jannes",1
"915","Janoah",1
"916","Janum",1
"917","Japheth",1
"918","Japhia",1
"919","Jashen",1
"920","Jasher",1
"921","Jason",1
"922","Jasper",1
"923","Javan",1
"924","Javelin",1
"925","Jearim",1
"926","Jebus",1
"927","Jehoram",1
"928","Jehoshaphat",1
"929","Jehovah",1
"930","Jehozabad",1
"931","Jehozadak",1
"932","Jehu",1
"933","Jehucal",1
"934","Jehudi",1
"935","Jeiel",1
"936","Jemima",1
"937","Jephthah",1
"938","Jeremiah",1
"939","Jeremiah, Book of",1
"940","Jericho",1
"941","Jeruel",1
"942","Jerusalem",1
"943","Jesher",1
"944","Jeshua",1
"945","Jesse",1
"946","Jesus",1
"947","Jethro",1
"948","Jetur",1
"949","Jezebel",1
"950","Jeziel",1
"951","Jezreel",1
"952","Joanna",1
"953","Joash",1
"954","Job",1
"955","Jobab",1
"956","Joel",1
"957","John",1
"958","Jokim",1
"959","Jonah",1
"960","Jonas",1
"961","Jonathan",1
"962","Jordan",1
"963","Joseph",1
"964","Joshua",1
"965","Josiah",1
"966","Jotham",1
"967","Jozabad",1
"968","Jubilee",1
"969","Juda",1
"970","Judah",1
"971","Judas",1
"972","Jude",1
"973","Judge",1
"974","Judith",1
"975","Julia",1
"976","Julius",1
"977","Junia",1
"978","Juniper",1
"979","Jupiter",1
"980","Justice",1
"981","Justus",1
"982","Juttah",1
"983","Kabzeel",1
"984","Kadesh",1
"985","Kadesh",1
"986","Kadmiel",1
"987","Kanah",1
"988","Kareah",1
"989","Karkaa",1
"990","Karkor",1
"991","Kartah",1
"992","Kartan",1
"993","Kattath",1
"994","Kedar",1
"995","Kedesh",1
"996","Kedron",1
"997","Keilah",1
"998","Kelita",1
"999","Kemuel",1
"1000","Kenath",1
"1001","Kenaz",1
"1002","Kettle",1
"1003","Keturah",1
"1004","Key",1
"1005","Kid",1
"1006","Kidron",1
"1007","King",1
"1008","Kinsman",1
"1009","Kir",1
"1010","Kish",1
"1011","Kishon",1
"1012","Kite",1
"1013","Knife",1
"1014","Knock",1
"1015","Koa",1
"1016","Koz",1
"1017","Laban",1
"1018","Lachish",1
"1019","Ladder",1
"1020","Laish",1
"1021","Lama",1
"1022","Lamb",1
"1023","Lamech",1
"1024","Lamentation",1
"1025","Lamp",1
"1026","Landmark",1
"1027","Laodicea",1
"1028","Lapidoth",1
"1029","Lapping",1
"1030","Lapwing",1
"1031","Lasaea",1
"1032","Lasha",1
"1033","Latchet",1
"1034","Latin",1
"1035","Laver",1
"1036","Law",1
"1037","Lawyer",1
"1038","Lazarus",1
"1039","Leaf",1
"1040","League",1
"1041","Leah",1
"1042","Leannoth",1
"1043","Leasing",1
"1044","Leather",1
"1045","Leaven",1
"1046","Lebanon",1
"1047","Lebonah",1
"1048","Lees",1
"1049","Legion",1
"1050","Lehi",1
"1051","Lemuel",1
"1052","Leopard",1
"1053","Letter",1
"1054","Levi",1
"1055","Leviathan",1
"1056","Levy",1
"1057","Libertine",1
"1058","Libya",1
"1059","Life",1
"1060","Light",1
"1061","Lily",1
"1062","Lime",1
"1063","Lintel",1
"1064","Lion",1
"1065","Lip",1
"1066","Litter",1
"1067","Lock",1
"1068","Lodge",1
"1069","Lois",1
"1070","Loop",1
"1071","Lord",1
"1072","Lot",1
"1073","Lotan",1
"1074","Love",1
"1075","Lucas",1
"1076","Lucifer",1
"1077","Lucius",1
"1078","Lucre",1
"1079","Lud",1
"1080","Ludim",1
"1081","Luhith",1
"1082","Luke",1
"1083","Luz",1
"1084","Lycia",1
"1085","Lydda",1
"1086","Lydia",1
"1087","Lysanias",1
"1088","Lystra",1
"1089","Maath",1
"1090","Maaziah",1
"1091","Maccabees",1
"1092","Madon",1
"1093","Magdala",1
"1094","Magdalene",1
"1095","Magic",1
"1096","Magicians",1
"1097","Magistrate",1
"1098","Magog",1
"1099","Mahalath",1
"1100","Mahath",1
"1101","Mahlah",1
"1102","Mahlon",1
"1103","Mahol",1
"1104","Makheloth",1
"1105","Makkedah",1
"1106","Maktesh",1
"1107","Malachi",1
"1108","Malcam",1
"1109","Malchus",1
"1110","Mallows",1
"1111","Malluch",1
"1112","Mammon",1
"1113","Mamre",1
"1114","Manasseh",1
"1115","Manger",1
"1116","Manna",1
"1117","Mantle",1
"1118","Mara",1
"1119","Maranatha",1
"1120","Marble",1
"1121","Marcus",1
"1122","Mark",1
"1123","Martha",1
"1124","Mary",1
"1125","Mash",1
"1126","Mashal",1
"1127","Mason",1
"1128","Matthan",1
"1129","Matthat",1
"1130","Matthew",1
"1131","Matthias",1
